symptom_id,symptom
SMP001,a severe
SMP002,abdominal cramps
SMP003,abdominal pain
SMP004,acne
SMP005,adverse reactions
SMP006,an allergic reaction
SMP007,called hyperuricemia
SMP008,cancer
SMP009,cannabis can cause: headaches
SMP010,confusion
SMP011,constipation
SMP012,copper deficiency
SMP013,daytime drowsiness
SMP014,diarrhea
SMP015,disfiguring skin lesions heartburn
SMP016,disorientation
SMP017,dizziness
SMP018,don't drive
SMP019,extreme temperatures
SMP020,flaxseed can cause: bloating
SMP021,frequent vomiting
SMP022,ginkgo can cause: headache
SMP023,hypotension
SMP024,if you're having surgery
SMP025,including: stomach pain
SMP026,including: upset stomach
SMP027,irritability
SMP028,kidney stones
SMP029,liver conditions
SMP030,loose stools
SMP031,mild anxiety
SMP032,mild side effects
SMP033,mild tremor
SMP034,nausea
SMP035,of this
SMP036,oily skin
SMP037,reduced alertness
SMP038,serious
SMP039,short-lasting feelings of depression
SMP040,short-term kidney failure
SMP041,side effects
SMP042,sometimes fatal
SMP043,stomach cramps
SMP044,such as: confusion
SMP045,the supplement
SMP046,trouble sleeping
SMP047,unwanted
SMP048,vomiting
