medication_id,active_ingredient_id
M01,DB00316
M02,DB00898
M03,DB00531
M03,DB00515
M03,DB06769
M03,DB00997
M04,DB00437
M05,DB00404
M06,DB00488
M08,DB00233
M09,DB01576
M10,DB00759
M11,DB00682
M11,DB01109
M11,DB00569
M12,DB00564
M12,DB00252
M12,DB00313
M12,DB00555
M13,DB00472
M13,DB01104
M13,DB01175
M13,DB00285
M14,DB00502
M14,DB00477
M14,DB00623
M15,DB00252
M15,DB00564
M15,DB00555
M15,DB01202
M15,DB00273
M15,DB00996
M16,DB01076
M17,DB01174
M17,DB01351
M17,DB00312
M18,DB01432
M18,DB00375
M18,DB00930
M19,DB14500
M19,DB00381
M19,DB14513
M20,DB01156
M21,DB00829
M21,DB00404
M21,DB01174
M21,DB00295
M21,DB00497
M21,DB00425
M22,DB00201
M23,DB00201
M23,DB00277
M24,DB00682
M24,DB00252
M24,DB00678
M25,DB00199
M26,DB00682
M26,DB00641
M26,DB01076
M27,DB00201
M29,DB00564
M30,DB00515
M30,DB00531
M30,DB01229
M30,DB00997
M31,DB01432
M32,DB11136
M33,DB01394
M34,DB00396
M34,DB00783
M34,DB04573
M34,DB09381
M34,DB00655
M34,DB00367
M34,DB01395
M34,DB00957
M34,DB09389
M35,DB00091
M36,DB00514
M37,DB00331
M37,DB04115
M38,DB00390
M39,DB00343
M40,DB00783
M40,DB04573
M40,DB09381
M40,DB00655
M41,DB00950
M42,DB00176
M43,DB00338
M43,DB00736
M43,DB00448
M43,DB00213
M43,DB01129
M43,DB14513
M43,DB00927
M43,DB00863
M44,DB01241
M45,DB04703
M45,DB14500
M46,DB00316
M46,DB00951
M46,DB00563
M46,DB01076
M46,DB01060
M46,DB01118
M46,DB00563
M47,DB01050
M48,DB00091
M48,DB00864
M48,DB00993
M48,DB00688
M48,DB01024
M48,DB00877
M48,DB01590
M48,DB00531
M48,DB00635
M49,DB01592
M51,DB01221
M52,DB01235
M55,DB00331
M56,DB00563
M57,DB11130
M57,DB00813
M57,DB00295
M57,DB00497
M57,DB00318
M57,DB01452
M57,DB00333
M57,DB00907
M58,DB00627
M59,DB00727
M60,DB00625
M60,DB08864
M60,DB00238
M60,DB12301
M60,DB06414
M61,DB00338
M62,DB01083
M64,DB00859
M65,DB00477
M65,DB01069
M65,DB00623
M65,DB00679
M66,DB00252
M67,DB00855
M67,DB00707
M67,DB01015
M67,DB01118
M67,DB00759
M67,DB00999
M67,DB00755
M67,DB00477
M68,DB16691
M68,DB01601
M68,DB00503
M68,DB01319
M68,DB00224
M68,DB00220
M68,DB01232
M68,DB00701
M69,DB00205
M70,DB00481
M71,DB00936
M71,DB00126
M71,DB00162
M72,DB00472
M72,DB01104
M72,DB00215
M72,DB01175
M72,DB00176
M72,DB06684
M73,DB00472
M73,DB01104
M73,DB00715
M73,DB00215
M73,DB01175
M73,DB00285
M73,DB00476
M73,DB09068
M73,DB00193
M73,DB00813
M74,DB01236
M75,DB00203
M76,DB06290
M77,DB00877
M78,DB01323
M79,DB01076
M79,DB00641
M79,DB01098
M79,DB00227
M79,DB01095
M79,DB00175
M79,DB08860
M80,DB01076
M80,DB00641
M80,DB01098
M80,DB00227
M80,DB01095
M80,DB00175
M80,DB08860
M80,DB02701
M81,DB00624
M81,DB09381
M81,DB00396
M81,DB00741
M82,DB11365
M82,DB09020
M82,DB11113
M83,DB00624
M84,DB00880
M84,DB00310
M84,DB00790
M84,DB00264
M85,DB00897
M86,DB00669
M86,DB00953
M86,DB00315
M87,DB00313
M88,DB00661
M90,DB00163
M91,DB15664
M92,DB00582
M93,DB00682
M94,DB01397
M94,DB00201
M95,DB01593
